0.0 13.088500
100.0 13.087956
200.0 13.083601
300.0 13.074891
400.0 13.061827
500.0 13.044407
600.0 13.022633
700.0 12.996504
800.0 12.966020
900.0 12.931181
1000.0 12.891987
1100.0 12.848439
1200.0 12.800535
1221.5 12.769308
1400.0 12.119166
1500.0 12.040013
1600.0 11.978818
1700.0 11.913841
1800.0 11.844952
1900.0 11.772024
2000.0 11.694929
2100.0 11.613537
2200.0 11.527721
2300.0 11.437353
2400.0 11.342303
2500.0 11.242445
2600.0 11.137649
2700.0 11.027788
2800.0 10.912733
2900.0 10.792356
3000.0 10.666529
3100.0 10.535122
3200.0 10.398009
3300.0 10.255061
3400.0 10.106150
3480.0 9.966925
3600.0 5.536414
3630.0 5.498957
3800.0 5.449133
4000.0 5.357086
4200.0 5.257316
4400.0 5.156720
4600.0 5.054725
4800.0 4.950760
5000.0 4.844253
5200.0 4.734632
5400.0 4.621326
5600.0 4.503762
5701.0 4.412141
5771.0 3.983971
5871.0 3.912802
5971.0 3.786765
6061.0 3.516391
6151.0 3.462647
6221.0 3.363294
6291.0 3.370902
6346.6 3.377727
6356.0 2.900000
6368.0 2.600000
6371.0 1.020000
